page_url,city_from,city_to,price,segment,total_freq
https://city2city.ru/ufa-ishimbaj,Уфа,Ишимбай,5100,SEO_INVEST,210
https://city2city.ru/izhevsk-votkinsk,Ижевск,Воткинск,3000,SEO_DEFEND,208
https://city2city.ru/ufa-chelyabinsk,Уфа,Челябинск,12400,SEO_INVEST_DIRECT,207
https://city2city.ru/kazan-oktyabrskij-respublika-bashkortostan,Казань,Октябрьский,12300,SEO_INVEST_DIRECT,206
https://city2city.ru/kazan-aznakaevo,Казань,Азнакаево,9300,SEO_AUTOPILOT,204
https://city2city.ru/severodvinsk-arhangelsk,Северодвинск,Архангельск,3000,SEO_AUTOPILOT,202
https://city2city.ru/kazan-zelenodolsk,Казань,Зеленодольск,3000,SEO_MONITOR,201
https://city2city.ru/samara-ufa,Самара,Уфа,13800,DIRECT_TEST,200
https://city2city.ru/ufa-samara,Уфа,Самара,14000,DIRECT_TEST,200
https://city2city.ru/kazan-yoskar_ola,Международный аэропорт Казань,Йошкар-Ола,5000,SEO_MONITOR,192
https://city2city.ru/moskva-vladimir,Москва,Владимир,5500,SEO_AUTOPILOT,191
https://city2city.ru/vladimir-moskva,Владимир,Москва,5500,SEO_AUTOPILOT,191
https://city2city.ru/tumen-ekaterinburg,городской округ Тюмень,Екатеринбург,9900,SEO_AUTOPILOT,190
https://city2city.ru/kazan-cheboksary,Международный аэропорт Казань,Чебоксары,5100,SEO_MONITOR,190
https://city2city.ru/kemerovo-novokuznetsk,Кемерово,Новокузнецк,6600,SEO_MONITOR,188
https://city2city.ru/murmansk-kirovsk,Мурманск,Кировск,6500,SEO_AUTOPILOT,183
https://city2city.ru/ekaterinburg-tagil,международный аэропорт Кольцово Екатеринбург,Нижний Тагил,4300,SEO_MONITOR,182
https://city2city.ru/ekaterinburg-sibaj-2,Екатеринбург,Сибай,17700,DIRECT_TEST,182
https://city2city.ru/svo-taxi-krasnodar-donetsk,Краснодар,Донецк,13500,DIRECT_TEST,181
https://city2city.ru/orenburg-kazan,Оренбург,Казань,21600,DIRECT_TEST,180
https://city2city.ru/barnaul-gorno-altaysk,Барнаул,Горно-Алтайск,7600,SEO_MONITOR,179
https://city2city.ru/kurgan-tyumen,Курган,Тюмень,6000,SEO_AUTOPILOT,179
https://city2city.ru/sankt-peterburg-velikij-novgorod,Санкт-Петербург,Великий Новгород,6400,SEO_AUTOPILOT,174
https://city2city.ru/ufa-yanaul,Уфа,Янаул,6300,SEO_AUTOPILOT,174
https://city2city.ru/velikiy-novgorod-sankt-peterburg,Великий Новгород,Санкт-Петербург,6300,SEO_AUTOPILOT,174
https://city2city.ru/ekaterinburg-pervouralsk,Екатеринбург,Первоуральск,3000,SEO_AUTOPILOT,172
https://city2city.ru/ufa-ekaterinburg,Уфа,Екатеринбург,15800,DIRECT_TEST,172
https://city2city.ru/ekaterinburg-ufa,международный аэропорт Кольцово Екатеринбург,Уфа,15800,DIRECT_TEST,172
https://city2city.ru/vladivostok-ussurijsk,Владивосток,Уссурийск,3600,SEO_AUTOPILOT,171
https://city2city.ru/kazan-kirov,Международный аэропорт Казань,Киров,11800,DIRECT_TEST,169
https://city2city.ru/chelyabinsk-chebarkul,Челябинск,Чебаркуль,3800,SEO_AUTOPILOT,169
https://city2city.ru/kirov-kazan,Киров,Казань,11800,DIRECT_TEST,169
https://city2city.ru/saratov-balakovo,Саратов,Балаково,5000,SEO_AUTOPILOT,168
https://city2city.ru/svo-taxi-starobelsk-2,,Старобельск,114000,DIRECT_TEST,162
https://city2city.ru/orenburg-novotroiczk,Оренбург,Новотроицк,8100,SEO_AUTOPILOT,162
https://city2city.ru/kostroma-yaroslavl,Кострома,Ярославль,3800,SEO_AUTOPILOT,161
https://city2city.ru/yaroslavl-kostroma,Ярославль,Кострома,3800,SEO_AUTOPILOT,161
https://city2city.ru/penza-moskva,Пенза,Москва,19400,DIRECT_TEST,155
https://city2city.ru/moskva-penza,Москва,Пенза,19400,DIRECT_TEST,155
https://city2city.ru/ekaterinburg-moskva,Екатеринбург,Москва,50200,DIRECT_TEST,154
https://city2city.ru/stavropol-nevinnomyssk,Ставрополь,Невинномысск,3200,SEO_AUTOPILOT,153
https://city2city.ru/izhevsk-agryz,Ижевск,Агрыз,3000,SEO_AUTOPILOT,152
https://city2city.ru/moskva-borovichi,Москва,Боровичи,13000,DIRECT_TEST,151
https://city2city.ru/orenburg-buzuluk,Оренбург,Бузулук,7500,SEO_AUTOPILOT,150
https://city2city.ru/tambov-michurinsk,Тамбов,Мичуринск,3200,SEO_AUTOPILOT,148
https://city2city.ru/ivanovo-yaroslavl,Иваново,Ярославль,4100,SEO_MONITOR,147
https://city2city.ru/orenburg-sol-ileczk,Оренбург,Соль-Илецк,3400,SEO_AUTOPILOT,146
https://city2city.ru/moskva-obninsk,Москва,Обнинск,3500,SEO_AUTOPILOT,145
https://city2city.ru/elista-astraxan,Элиста,Астрахань,9300,SEO_AUTOPILOT,144
https://city2city.ru/smolensk-moskva,Смоленск,Москва,12000,DIRECT_TEST,144
https://city2city.ru/astraxan-elista,Астрахань,Элиста,9300,SEO_AUTOPILOT,144
https://city2city.ru/novosibirsk-berdsk,Новосибирск,Бердск,3000,SEO_AUTOPILOT,143
https://city2city.ru/kostroma-moskva,Кострома,Москва,10000,DIRECT_TEST,142
https://city2city.ru/ekaterinburg-ozyorsk,Екатеринбург,Озерск,4500,SEO_AUTOPILOT,139
https://city2city.ru/tula-novomoskovsk,Тула,Новомосковск,2000,SEO_AUTOPILOT,136
https://city2city.ru/orenburg-moskva,Оренбург,Москва,45200,DIRECT_TEST,136
https://city2city.ru/moskva-orenburg,Москва,Оренбург,45000,DIRECT_TEST,136
https://city2city.ru/izhevsk-perm,Ижевск,Пермь,8500,SEO_MONITOR,136
https://city2city.ru/kirov-syktyvkar,Киров,Сыктывкар,12400,DIRECT_TEST,131
https://city2city.ru/syktyvkar-kirov,Сыктывкар,Киров,12400,DIRECT_TEST,131
https://city2city.ru/kirov-syktyvkar-2,Киров,Сыктывкар,12500,DIRECT_TEST,131
https://city2city.ru/cheboksary-novocheboksarsk,Чебоксары,Новочебоксарск,3000,SEO_AUTOPILOT,130
https://city2city.ru/ufa-izhevsk,Уфа,Ижевск,10200,DIRECT_TEST,130
https://city2city.ru/perm-ekaterinburg,Пермь,Екатеринбург,10800,DIRECT_TEST,129
https://city2city.ru/ekaterinburg-perm,международный аэропорт Кольцово Екатеринбург,Пермь,10800,DIRECT_TEST,129
https://city2city.ru/tula-shhyokino,Тула,Щёкино,3000,SEO_AUTOPILOT,128
https://city2city.ru/murmansk-apatity,Мурманск,Апатиты,6400,SEO_AUTOPILOT,128
https://city2city.ru/sankt-peterburg-pskov,Санкт-Петербург,Псков,9000,SEO_AUTOPILOT,127
https://city2city.ru/vladivostok-naxodka,Владивосток,Находка,7500,SEO_AUTOPILOT,127
https://city2city.ru/oryol-moskva,Орёл,Москва,11000,DIRECT_TEST,127
https://city2city.ru/pskov-piter,Псков,Санкт-Петербург,8700,SEO_AUTOPILOT,127
https://city2city.ru/volgograd-moskva,Волгоград,Москва,29000,DIRECT_TEST,127
https://city2city.ru/kazan-bavly,Казань,Бавлы,10500,DIRECT_TEST,126
https://city2city.ru/belgorod-voronezh,Белгород,Воронеж,7600,SEO_AUTOPILOT,126
https://city2city.ru/kazan-izhevsk,Международный аэропорт Казань,Ижевск,11100,DIRECT_TEST,126
https://city2city.ru/volgograd-doneczk-rostovskaya-oblast,Волгоград,Донецк,11700,DIRECT_TEST,123
https://city2city.ru/lesosibirsk-krasnojarsk,Лесосибирск,Красноярск,9000,SEO_AUTOPILOT,122
https://city2city.ru/krasnoyarsk-lesosibirsk,Красноярск,Лесосибирск,8800,SEO_AUTOPILOT,122
https://city2city.ru/nizhnij-novgorod-kstovo,Нижний Новгород,Кстово,2000,SEO_AUTOPILOT,121
https://city2city.ru/kazan-tujmazy,Казань,Туймазы,11400,DIRECT_TEST,120
https://city2city.ru/voronezh-usman,Воронеж,Усмань,2000,SEO_AUTOPILOT,120
https://city2city.ru/kaluga-tula,Калуга,Тула,3000,SEO_AUTOPILOT,120
https://city2city.ru/samara-buzuluk,Самара,Бузулук,5600,SEO_AUTOPILOT,119
https://city2city.ru/ivanovo-vladimir,Иваново,Владимир,3500,SEO_MONITOR,117
https://city2city.ru/ulan-udje-irkutsk,Улан-Удэ,Иркутск,13500,DIRECT_TEST,117
https://city2city.ru/vladivostok-artyom,Владивосток,Артём,2000,SEO_AUTOPILOT,117
https://city2city.ru/samara-ulyanovsk,Самара,Ульяновск,7200,SEO_AUTOPILOT,116
https://city2city.ru/ulyanovsk-samara,Ульяновск,Самара,7500,SEO_AUTOPILOT,116
https://city2city.ru/syktyvkar-mikun,Сыктывкар,Микунь,4000,SEO_AUTOPILOT,115
https://city2city.ru/moskva-lipetsk,Москва,Липецк,14000,DIRECT_TEST,115
https://city2city.ru/rostov-salsk,Ростов-на-Дону,Сальск,5500,SEO_AUTOPILOT,115
https://city2city.ru/lipeczk-moskva,Липецк,Москва,14100,DIRECT_TEST,115
https://city2city.ru/moskva-ekaterinburg,Москва,Екатеринбург,49800,DIRECT_TEST,115
https://city2city.ru/kursk-kurchatov,Курск,Курчатов,3000,SEO_AUTOPILOT,114
https://city2city.ru/krasnoyarsk-novosibirsk,Красноярск,Новосибирск,23400,DIRECT_TEST,114
https://city2city.ru/krasnoyarsk-abakan,Красноярск,Абакан,12300,DIRECT_TEST,114
https://city2city.ru/novosibirsk-krasnoyarsk,Новосибирск,Красноярск,23400,DIRECT_TEST,114
https://city2city.ru/perm-moskva,Пермь,Москва,44000,DIRECT_TEST,113
https://city2city.ru/murmansk-monchegorsk,Мурманск,Мончегорск,5000,SEO_AUTOPILOT,113
https://city2city.ru/moskva-perm,Москва,Пермь,45500,DIRECT_TEST,113
https://city2city.ru/ekaterinburg-kamensk-uralskij,Екатеринбург,Каменск-Уральский,3600,SEO_AUTOPILOT,113
https://city2city.ru/tyumen-tobolsk,Тюмень,Тобольск,7500,SEO_AUTOPILOT,112
https://city2city.ru/murmansk-snezhnogorsk,Мурманск,Снежногорск,2000,SEO_AUTOPILOT,112
https://city2city.ru/svo-taxi-moskva-mariupol,Москва,Мариуполь,37500,DIRECT_TEST,111
https://city2city.ru/volgograd-elista,Волгоград,Элиста,8800,SEO_AUTOPILOT,111
https://city2city.ru/orenburg-gaj,Оренбург,Гай,8600,SEO_AUTOPILOT,110
https://city2city.ru/blagoveshhensk-belogorsk,Благовещенск,Белогорск,4700,SEO_MONITOR,110
https://city2city.ru/belogorsk-blagoveshhensk,Белогорск,Благовещенск,4700,SEO_MONITOR,110
https://city2city.ru/ivanovo-plyos,Иваново,Плёс,3200,SEO_MONITOR,110
https://city2city.ru/nerjungri-jakutsk,Нерюнгри,Якутск,24300,DIRECT_TEST,109
https://city2city.ru/tyumen-tavda,Тюмень,Тавда,4700,SEO_AUTOPILOT,106
https://city2city.ru/ulyanovsk-dimitrovgrad,Ульяновск,Димитровград,4000,SEO_AUTOPILOT,105
https://city2city.ru/vologda-totma,Вологда,Тотьма,6500,SEO_AUTOPILOT,105
https://city2city.ru/izhevsk-glazov,Ижевск,Глазов,5800,SEO_AUTOPILOT,103
https://city2city.ru/kirov-kotelnich,Киров,Котельнич,4300,SEO_AUTOPILOT,103
https://city2city.ru/nizhnij-novgorod-bor,Нижний Новгород,Бор,36500,DIRECT_TEST,102
https://city2city.ru/kemerovo-yurga,Кемерово,Юрга,4300,SEO_AUTOPILOT,102
https://city2city.ru/aldan-jakutsk,Алдан,Якутск,15800,DIRECT_TEST,100
https://city2city.ru/chelyabinsk-kopejsk,Челябинск,Копейск,3000,SEO_AUTOPILOT,100
https://city2city.ru/astraxan-volgograd,Астрахань,Волгоград,12800,DIRECT_TEST,97
https://city2city.ru/tula-uzlovaya,Тула,Узловая,3000,SEO_AUTOPILOT,97
https://city2city.ru/perm-ufa,Пермь,Уфа,15200,DIRECT_TEST,97
