page_url,city_from,city_to,price,segment
https://city2city.ru/izhevsk-ekaterinburg,Ижевск,Екатеринбург,17100,DIRECT
https://city2city.ru/ekaterinburg-nizhnyaya-tura,Екатеринбург,Нижняя Тура,7000,SEO
https://city2city.ru/irkutsk-sayansk,Иркутск,Саянск,8500,SEO
https://city2city.ru/astraxan-narimanov,Астрахань,Нариманов,2000,SEO
https://city2city.ru/kazan-buguruslan,Казань,Бугуруслан,11700,DIRECT
https://city2city.ru/barnaul-zarinsk,Барнаул,Заринск,3500,SEO
https://city2city.ru/astraxan-rostov-na-donu,Астрахань,Ростов-на-Дону,23100,DIRECT
https://city2city.ru/kazan-neftekamsk,Казань,Нефтекамск,12400,DIRECT
https://city2city.ru/ivanovo-nizhnij-novgorod,Иваново,Нижний Новгород,7500,SEO
https://city2city.ru/ekaterinburg-chebarkul,Екатеринбург,Чебаркуль,7800,SEO
https://city2city.ru/kemerovo-beryozovskiy,Кемерово,Берёзовский,55800,DIRECT
https://city2city.ru/astraxan-stavropol,Астрахань,Ставрополь,17400,DIRECT
https://city2city.ru/bryansk-kursk,Брянск,Курск,8500,SEO
https://city2city.ru/kaluga-kozelsk,Калуга,Козельск,3200,SEO
https://city2city.ru/chelyabinsk-kusa,Челябинск,Куса,5500,SEO
https://city2city.ru/ivanovo-komsomolsk,Иваново,Комсомольск,3000,SEO
https://city2city.ru/belgorod-samara,Белгород,Самара,35500,DIRECT
https://city2city.ru/belgorod-novyj_oskol,Белгород,Новый Оскол,3500,SEO
https://city2city.ru/bryansk-lyudinovo,Брянск,Людиново,3600,SEO
https://city2city.ru/irkutsk-chita,Иркутск,Чита,32800,DIRECT
https://city2city.ru/belgorod-lipeck,Белгород,Липецк,11500,DIRECT
https://city2city.ru/ekaterinburg-zlatoust,Екатеринбург,Златоуст,8100,SEO
https://city2city.ru/kazan-volgograd,Казань,Волгоград,30900,DIRECT
https://city2city.ru/belgorod-korocha,Белгород,Короча,3000,SEO
https://city2city.ru/ivanovo-yuzha,Иваново,Южа,3000,SEO
https://city2city.ru/ekaterinburg-ulyanovsk,Екатеринбург,Ульяновск,30200,DIRECT
https://city2city.ru/belgorod-kazan,Белгород,Казань,38600,DIRECT
https://city2city.ru/kazan-belgorod,Казань,Белгород,40400,DIRECT
https://city2city.ru/kaluga-lyudinovo,Калуга,Людиново,5800,SEO
https://city2city.ru/kazan-orsk,Казань,Орск,29700,DIRECT
https://city2city.ru/irkutsk-bodajbo,Иркутск,Бодайбо,43800,DIRECT
https://city2city.ru/joshkar-ola-volzhsk,Йошкар-Ола,Волжск,3000,SEO
https://city2city.ru/kazan-arsk,Казань,Арск,3200,SEO
https://city2city.ru/ekaterinburg-krasnoturinsk,Екатеринбург,Краснотурьинск,11600,DIRECT
https://city2city.ru/ekaterinburg-aramil,Екатеринбург,Арамиль,2000,SEO
https://city2city.ru/cheboksary-penza,Чебоксары,Пенза,14000,DIRECT
https://city2city.ru/kazan-zainsk,Казань,Заинск,7200,SEO
https://city2city.ru/ekaterinburg-krasnoufimsk,Екатеринбург,Красноуфимск,6000,SEO
