url;gorod1;gorod2;distance;price
https://city2city.ru/kazan-ivanovo.html;Казань;Иваново;770;23500
https://city2city.ru/cheboksary-moskva.html;Чебоксары;Москва;740;22500
https://city2city.ru/donetsk-voronezh.html;Донецк;Воронеж;740;22500
https://city2city.ru/moskva-rossosh.html;Москва;Россошь;750;22500
https://city2city.ru/moskva-cheboksary.html;Москва;Чебоксары;730;22000
https://city2city.ru/moskva-belgorod.html;Москва;Белгород;690;21000
https://city2city.ru/moskva-otradnoe.html;Москва;Отрадное;700;21000
https://city2city.ru/moskva-luga.html;Москва;Луга;680;20500
https://city2city.ru/novosibirsk-omsk.html;Новосибирск;Омск;650;19500
https://city2city.ru/ufa-oktyabrsk.html;Уфа;Октябрьск;580;17500
https://city2city.ru/krasnodar-sevastopol.html;Краснодар;Севастополь;530;16000
https://city2city.ru/kursk-moskva.html;Курск;Москва;530;16000
https://city2city.ru/moskva-gryazi.html;Москва;Грязи;520;16000
https://city2city.ru/ulyanovsk-zavolzhe.html;Ульяновск;Заволжье;530;16000
https://city2city.ru/cheboksary-samara.html;Чебоксары;Самара;510;15500
https://city2city.ru/krasnodar-evpatoriya.html;Краснодар;Евпатория;510;15500
https://city2city.ru/moskva-dmitriev.html;Москва;Дмитриев;510;15500
https://city2city.ru/krasnodar-volgodonsk.html;Краснодар;Волгодонск;490;15000
https://city2city.ru/krasnodar-yalta.html;Краснодар;Ялта;500;15000
https://city2city.ru/moskva-nigniy_novgorod.html;Москва;Нижний Новгород;460;14000
https://city2city.ru/tambov-moskva.html;Тамбов;Москва;460;14000
https://city2city.ru/krasnodar-dzhankoj.html;Краснодар;Джанкой;450;13500
https://city2city.ru/krasnodar-essentuki.html;Краснодар;Ессентуки;440;13500
https://city2city.ru/krasnodar-simferopol.html;Краснодар;Симферополь;440;13500
https://city2city.ru/mariupol-simferopol.html;Мариуполь;Симферополь;450;13500
https://city2city.ru/moskva-dzerzhinsk.html;Москва;Дзержинск;440;13500
https://city2city.ru/novosibirsk-gorno-altaysk.html;Новосибирск;Горно-Алтайск;450;13500
https://city2city.ru/krasnodar-pyatigorsk.html;Краснодар;Пятигорск;430;13000
https://city2city.ru/moskva-bryansk.html;Москва;Брянск;420;13000
https://city2city.ru/moskva-michurinsk.html;Москва;Мичуринск;417;13000
https://city2city.ru/volgograd-astraxan.html;Волгоград;Астрахань;430;13000
https://city2city.ru/moskva-smolensk.html;Москва;Смоленск;402;12500
https://city2city.ru/bryansk-moskva.html;Брянск;Москва;400;12000
https://city2city.ru/moskva-vyksa.html;Москва;Выкса;390;12000
https://city2city.ru/moskva-orel.html;Москва;Орёл;370;11500
https://city2city.ru/moskva-rodniki.html;Москва;Родники;370;11500
https://city2city.ru/novosibirsk-novokuznetsk.html;Новосибирск;Новокузнецк;370;11500
https://city2city.ru/ivanovo-domodedovo.html;Иваново;Домодедово;350;10500
https://city2city.ru/ivanovo-moskva.html;Иваново;Москва;340;10500
https://city2city.ru/krasnodar-adler.html;Краснодар;Адлер;350;10500
https://city2city.ru/krasnodar-cherkessk.html;Краснодар;Черкесск;350;10500
https://city2city.ru/moskva-kostroma.html;Москва;Кострома;350;10500
https://city2city.ru/moskva-melenki.html;Москва;Меленки;340;10500
https://city2city.ru/krasnodar-armavir.html;Краснодар;Армавир;330;10000
https://city2city.ru/krasnodar-feodosiya.html;Краснодар;Феодосия;330;10000
https://city2city.ru/krasnodar-sochi.html;Краснодар;Сочи;320;10000
https://city2city.ru/moskva-ivanovo.html;Москва;Иваново;320;10000
