slug;source;freq;position;channel;priority_group;priority_label;segment_orig;federal_count;regional_count;yandex_count;top10_domains;city_from;city_to;price
donetsk-kirov;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxigoroda.ru;Донецк;Киров;56000
donetsk-volgograd;old;10273;;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;1;4;0;taxi977.ru|yandex.ru|taxi666.ru|faeton24.ru|deshevotaxi.ru|www.avito.ru|umnyestroiteli.ru|uslugi.yandex.ru|t.me|dnr.taxi;Донецк;Волгоград;18600
donetsk-chelyabinsk;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Челябинск;67500
donetsk-saransk;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|deshevotaxi.ru|dnr.taxi|faeton24.ru|taxi-ignat.ru|www.rustore.ru;Донецк;Саранск;35000
donetsk-saratov;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Саратов;29000
donetsk-yoshkar-ola;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Йошкар-Ола;47000
donetsk-tambov;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Тамбов;26000
donetsk-kazan;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Казань;47500
donetsk-ufa;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|dnr.taxi|uslugi.yandex.ru|faeton24.ru|deshevotaxi.ru|t.me|taxigoroda.ru;Донецк;Уфа;57300
donetsk-ekaterinburg;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Екатеринбург;68500
donetsk-orenburg;old;10273;;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;1;4;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|yandex.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me;Донецк;Оренбург;53000
donetsk-maykop;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|t.me|taxi-ignat.ru;Донецк;Майкоп;22000
donetsk-perm;old;10273;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;taxi977.ru|yandex.ru|www.avito.ru|taxi666.ru|uslugi.yandex.ru|dnr.taxi|deshevotaxi.ru|faeton24.ru|taxi-ignat.ru|umnyestroiteli.ru;Донецк;Пермь;66500
oryol-orlov;new;9253;2;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD_NEW;16;10;3;taksisvo.ru|city2city.ru|deshevotaxi.ru|mejgorodtaxi.ru|takse.ru|orol.taximaxim.ru|taxitops.ru|orol.taxipoehali.ru|taxi.yandex.ru|intaxi.ru;;;
ufa-oktyabrskoe;new;1786;28;SEO;F_AUTOPILOT;SEO автопилот;SEO_AUTOPILOT_NEW;13;10;4;oktyabrsky-ufa.ru|www.avito.ru|yandex.ru|go.yandex|sky-transfer.ru|perevozka24.com|vk.com|kiwitaxi.ru|taxi-bashkiria.ru|yandex.ru;;;
ufa-oktjabrskij;old;1786;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|www.yell.ru|m.avito.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|go.yandex|ufa.flamp.ru|taxiufa.ru|rutaxi.ru|ufa.taptaxi.su|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|vse-taxi.com|rutaxist.ru|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Октябрьский;6100
bratsk-irkutsk;old;1371;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;5;0;www.avito.ru|taxi-38.ru|taxibrik.ru|taxicab-irkutsk-bratsk.ru|yandex.ru|taxi-ckolesa.ru|2gis.ru|drivee.com|www.yell.ru|sky-transfer.ru;Братск;Иркутск;18500
ufa-salavat;old;1196;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Салават;5300
ufa-kumertau;old;1157;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|taxitops.ru|vse-taxi.com|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Кумертау;7400
ufa-sterlitamak;old;1155;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Стерлитамак;4500
ufa-belebej;old;1125;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|go.yandex|ufa.flamp.ru|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|perevozka24.com|taksi-ufa.ru|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Белебей;6000
ufa-tujmazy;old;1077;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|www.yell.ru|m.avito.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|go.yandex|ufa.flamp.ru|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|perevozka24.com|taksi-ufa.ru|taxi-mini.ru|taxi-nomera.ru|vse-taxi.com|rutaxist.ru|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Туймазы;5800
orenburg-orsk;old;1062;11;SEO;A_GOLD;SEO Gold - быстрые победы;SEO_GOLD;3;11;0;www.avito.ru|orsk-oren.ru|yandex.ru|kiwitaxi.ru|1taxopark.ru|taxi555.ru|rustransfer.org|taxi.drive-luxe.ru|vk.com|yandex.ru|city2city.ru|t.me|pda.board.orsk.ru|taxi-cosmos.ru|www.rome2rio.com|transfers.unitaxi.ru|youla.ru|orskoren.ru|taxi-orenburg-orsk.ru|xn-----6kcgkkspc6ahcxddeek8a.xn--p1ai|nexttax.ru|orentransfer.ru|taxi-lider64.ru|mezhgorod-rf.ru|xn-----8kcbkk0ancxjfuddqepk.xn--p1ai|taksi-gorod.ru|taxi533.ru|taksisvo.ru|ok.ru|orsk-orenburg.turbo.site;Оренбург;Орск;8200
izhevsk-kazan;old;1026;;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;2;4;0;www.avito.ru|yandex.ru|kiwitaxi.ru|izhevsk.taxi24h.ru|uslugi.yandex.ru|vk.com|izhevsk.taksi24.taxi|xn----7sbhlekbng7dgc.xn--p1ai|ugtaxi.ru|taxi533.ru;Ижевск;Казань;11000
rostov-doneck;new;989;23;SEO;F_AUTOPILOT;SEO автопилот;SEO_AUTOPILOT_NEW;6;16;1;xn-----6kckdgfipty1aaca1adgndr.xn--p1ai|sky-transfer.ru|www.avito.ru|taxi-atlas.com|yandex.ru|taxi-ug.ru|kubtaxi.ru|tratatur.ru|don-voyage.ru|ug.taxi;;;
chelyabinsk-ekaterinburg;old;962;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;2;5;0;intercity74.ru|www.avito.ru|driver174.ru|chelyabinsk.sevastopol24.taxi|taxidesyatka.ru|taksi-gorod.ru|taxi555.ru|kiwitaxi.ru|uslugi.yandex.ru|taxi533.ru;Челябинск;Екатеринбург;6300
kurgan-matveev-kurgan;new;867;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD_NEW;17;9;3;yandex.ru|www.avito.ru|uslugi.yandex.ru|2gis.ru|zoon.ru|catalogtaksi.ru|deshevotaxi.ru|taksi-mius.clients.site|rutaxist.ru|yandex.ru;;;
ufa-beloreck;old;860;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|perevozka24.com|taksi-ufa.ru|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Белорецк;7800
ufa-meleuz;old;835;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|perevozka24.com|taksi-ufa.ru|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|taxitops.ru|vse-taxi.com|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Мелеуз;6300
moskva-doneczk-rostovskaya-oblast;old;818;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;22;0;sky-transfer.ru|moskva.taxi24h.ru|taxi-yugtaxi.ru|yandex.ru|www.avito.ru|www.taximasters.ru|msk.taxi|taxi555.ru|taksi-gorod.ru|xn----7sbyhcmnbsdikx.xn--p1ai|taksireal.ru|ugtaxi.ru|don-voyage.ru|cabway.ru|ug.taxi|taksisvo.ru|levtransfer.ru|taxi-cosmos.ru|kubtaxi.ru|mezhgorod-rf.ru|moskva.sevastopol24.taxi|unit-transfer.ru|taxi-mobil.ru|wing-taxi.ru|taxi-svobodnoe.ru|alfataxi82.ru|tratatur.ru|moskva.yalta-24.taxi|unit21.ru|taxi533.ru;Москва;Донецк;29500
ufa-orenburg;old;791;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|www.yell.ru|m.avito.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|go.yandex|ufa.flamp.ru|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Оренбург;11100
orenburg-ufa;old;791;20;SEO+DIRECT;A_GOLD;SEO Gold + Директ;SEO_GOLD_DIRECT;2;16;0;www.avito.ru|taxi56.tb.ru|orenburg-ufa-taxi.ru|ufa.sky-transfer.ru|vk.com|vk.link|kiwitaxi.ru|t.me|ufa-orenburg-ufa.ru|yandex.ru|taksi-gorod.ru|orenburg.taksi24.taxi|yandex.ru|taxi24online.ru|taxi533.ru|korona-taksi.ru|www.mezhgorod.taxi|nexttax.ru|mezhgorod-rf.ru|city2city.ru|rustransfer.org|taxi555.ru|xn--80ajkhneomg.xn--p1ai|orenburg.taxi24h.ru|taxi-russia.su|taxiorenufaoren.orgs.biz|taxi56ru.ru|ufaoren.ru|orentransfer.ru|orenburg.gde.ru;Оренбург;Уфа;11100
moskva-vostochnyj;new;761;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST_NEW;8;16;2;oldtaxi.ru|msk.svoetaksi.ru|kiwitaxi.ru|ugtaxi.ru|www.taxi-accord.ru|2gis.ru|taxi-mobil.ru|drive-luxe.ru|moskva.taxideshevo.com|taksi-moskva24.ru;;;
moskva-rostov-velikij;old;723;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;26;0;www.avito.ru|taxi.ugtravel.com|ug-transfer.online|sky-transfer.ru|alfataxi82.ru|moskva.taxi24h.ru|ug.taxi|taxi555.ru|taksi-gorod.ru|taxi-bereg.ru|msk.taxiarkadiya.ru|kubtaxi.ru|msk.taxi|moskva.sevastopol24.taxi|chestnyi-transfer.ru|taxi-svobodnoe.ru|taksi-mezhgorod.ru|www.taxi2000.ru|ab-taxi.ru|tratatur.ru|www.mezhgorod.taxi|moskva.taxi-krim.com|www.taximasters.ru|ugtaxi.ru|sochi.taxi|1taxopark.ru|taxi.transferplustravel.com|sip.taxi|taxi-mobil.ru|izvozchik.su;Москва;Ростов;32500
ufa-sibaj;old;721;;SEO+DIRECT;B_INVEST;SEO инвестиции + Директ;SEO_INVEST_DIRECT;1;19;0;taxi.yandex.ru|ufa.taximaxim.ru|2gis.ru|vezet.ru|yandex.ru|ufa1.ru|ufa.taxipoehali.ru|m.avito.ru|www.yell.ru|city-mobil.ru|uslugi.yandex.ru|zoon.ru|ufa.flamp.ru|go.yandex|taxiufa.ru|ufa.taptaxi.su|rutaxi.ru|vip-taxi-ufa.ru|taximini-ufa.ru|taksi-ufa.ru|perevozka24.com|taxi-mini.ru|taxi-nomera.ru|rutaxist.ru|vse-taxi.com|taxitops.ru|taxieconom.ru|taxi-mini-ufa.ru|taxi-ufa.ru|taxiufa.com;Уфа;Сибай;12300
samara-buguruslan;old;706;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;12;0;taxi.yandex.ru|vezet.ru|2gis.ru|samara.taximaxim.ru|yandex.ru|www.avito.ru|city-mobil.ru|drivee.com|samara.taxipoehali.ru|uslugi.yandex.ru|zoon.ru|xn----7sbabxukdmwuiegm.xn--p1ai|samara.taptaxi.su|taxi-samara.ru|vk.com|www.yell.ru|perevozka24.com|go.yandex|drugoigorod.ru|rutaxi.ru|frantbusiness.ru|www.komandirovka.ru|taxi-nomera.ru|www.orgpage.ru|perevozchik163.ru|souzviptaxi.ru|samara.yp.ru|xn----7sbaab2cnl1bgij.xn--p1ai|taxi-nomer.ru|taxi-leader.ru;Самара;Бугуруслан;5900
krasnodar-novorossijsk;old;641;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;2;25;0;kubtaxi.ru|www.avito.ru|taxi-ug.ru|tratatur.ru|alfataxi82.ru|taksi-krasnodar-novorossiysk.ru|krasnodar.sky-transfer.ru|krasnodar.taxi24h.ru|taxiresort.ru|transferoff.ru|kiwitaxi.ru|perfect-taxi.ru|ugtaxi.ru|yandex.ru|taxi.ugtravel.com|msk.taxi|autoyellow.ru|taksi-gorod.ru|taxi-svobodnoe.ru|taxi.transferplustravel.com|taxi533.ru|krasnodar.taksi24.taxi|krasnodar.simferopol-aeroport.taxi|ug.taxi|geltaxi.ru|www.taxisea.ru|taxi-krasnodar-aeroport.ru|taxi-novorossiysk-krasnodar.ru|www.krd-taxi.ru|sochi.taxi;Краснодар;Новороссийск;5000
ekaterinburg-chelyabinsk;old;626;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;2;3;0;yandex.ru|2gis.ru|www.tourister.ru|www.avito.ru|kiwitaxi.ru|taxi-avantime.ru|willway.ru|transfers.unitaxi.ru|uslugi.yandex.ru|ekaterinburg.rustransfer.org;международный аэропорт Кольцово Екатеринбург;Челябинск;6300
orenburg-belyj;new;585;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST_NEW;12;11;2;taxibeloe.ru|vk.com|yandex.ru|2gis.ru|taxi-beloe.tvoe.taxi|zoon.ru|apps.apple.com|orenburg.flamp.ru|otzovik.com|yandex.ru;;;
uhta-syktyvkar;old;537;19;SEO;A_GOLD;SEO Gold - быстрые победы;SEO_GOLD;1;15;0;timan.taxi|vk.com|taxi555.ru|www.avito.ru|timan11.orgs.biz|rustransfer.org|yandex.ru|www.mezhgorod.taxi|www.a2b.ru|yandex.ru|1taxopark.ru|takse.ru|obltaxi.ru|catalogtaksi.ru|zoon.ru|deshevotaxi.ru|vse-taxi.com|taxivezde.ru|city2city.ru|taxi-nomera.ru|www.taxi-love.ru|2gis.ru|xn----etb1b.xn--p1ai|mejgorodtaxi.ru|sky-transfer.ru|taxi-ukhta-komi-republic-ru.taxigator.ru|xn--80a9aci.xn--80akxkdedu.xn--p1acf|web.archive.org|timan-taxi.clients.site|uslugio.com;Ухта;Сыктывкар;9600
enisejsk-krasnojarsk;old;535;7;DIRECT;G_DIRECT_ONLY;Только Директ;DIRECT_ONLY;0;2;0;vk.com|poputka-komfort.ru|yandex.ru|1taxopark.ru|taxi555.ru|yandex.ru|city2city.ru|takse.ru|m.ok.ru|www.mezhgorod.taxi;Енисейск;Красноярск;10200
moskva-tula;old;522;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;1;16;0;taxi.yandex.ru|moskva.taximaxim.ru|city-mobil.ru|vezet.ru|yandex.ru|journal.sovcombank.ru|msk.taxovichkof.ru|taximoskva.com|drivee.com|2gis.ru|m.avito.ru|xn----7sbb4ajch8bfab.xn--p1ai|uslugi.yandex.ru|oldtaxi.ru|moskva.taxipoehali.ru|t-j.ru|zoon.ru|www.taximasters.ru|www.taxi-ritm.ru|go.yandex|moskva.taxideshevo.com|taxi555.ru|msk.taxi-protaxi.ru|tradetaxi.ru|msk.svoetaksi.ru|nyt.ru|taxi-angel.ru|taxispeed.ru|www.taxi-accord.ru|taksi-moskva24.ru;Москва;Тула;5500
tula-moskva;old;522;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST;2;20;0;www.avito.ru|xn----7sbbu0aptdhddiv.xn--p1ai|kubtaxi.ru|tula.taksi24.taxi|chestnyi-transfer.ru|msk.taxi|tula-moskva.ru|taxi-ug.ru|taxi-mobil.ru|ug.taxi|kiwitaxi.ru|yandex.ru|tula.taxi24h.ru|www.taxi2000.ru|taxi555.ru|ugtaxi.ru|uslugi.yandex.ru|xn----7sbyhcmnbsdikx.xn--p1ai|taxi24online.ru|taxi.yandex.ru|1taxopark.ru|mezhgorod-rf.ru|wing-taxi.ru|taksi-gorod.ru|taxivezde.ru|www.taxi-rokada.ru|www.mezhgorod.taxi|taxi533.ru|transfer71.ru|vk.com;Тула;Москва;5500
kirov-kirov-kaluzhskaya-oblast;new;498;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD_NEW;16;10;2;yandex.ru|taxi-nomera.ru|2gis.ru|vk.com|perevozka24.com|intaxi.ru|m.ok.ru|1taxopark.ru|taxi.yandex.ru|zoon.ru;;;
krasnodar-simferopol;new;492;;SEO;B_INVEST;SEO инвестиции;SEO_INVEST_NEW;3;25;1;www.avito.ru|alfataxi82.ru|taxi-ug.ru|kubtaxi.ru|tratatur.ru|yandex.ru|ugtaxi.ru|ug.taxi|krasnodar.taxi24h.ru|krasnodar.sky-transfer.ru;;;
kazan-almetevsk;old;479;;SEO;C_HARD;SEO сложная конкуренция;SEO_HARD;2;2;0;taxi-airport-kazan.ru|www.avito.ru|yandex.ru|kiwitaxi.ru|2gis.ru|taxw.ru|uslugi.yandex.ru|www.tourister.ru|transfer-kazan.ru|vc.ru;Международный аэропорт Казань;Альметьевск;8000
krasnoyarsk-enisejsk;old;476;10;SEO+DIRECT;A_GOLD;SEO Gold + Директ;SEO_GOLD_DIRECT;2;14;0;vk.com|poputka-komfort.ru|taxi555.ru|1taxopark.ru|nyt.ru|yandex.ru|obltaxi.ru|vk.link|www.mezhgorod.taxi|city2city.ru|rustransfer.org|jupiter-tmc.ru|m.ok.ru|catalogtaksi.ru|www.taxi-love.ru|deshevotaxi.ru|yandex.ru|www.rome2rio.com|ru-travel.org|www.avito.ru|mezhgorod-taksi.ru|www.taxi2000.ru|taksi-gorod.ru|taxivezde.ru|taxi-nomera.ru|transfer124.ru|takse.ru|mezhgorod.taxi-ekvator.ru|t.me|kiwitaxi.ru;Красноярск;Енисейск;10000
