page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count
https://city2city.ru/svo-taxi-lugansk-severodonetsk;Луганск;Северодонецк;такси Луганск Северодонецк;6;такси луганск северодонецк;6
https://city2city.ru/svo-taxi-severodonetsk-lugansk;Северодонецк;Луганск;такси Северодонецк Луганск;6;такси луганск северодонецк;6
https://city2city.ru/lugansk-chelyabinsk;Луганск;Челябинск;такси Луганск Челябинск;5;;0
https://city2city.ru/svo-taxi-rossosh-nizhniy-novgorod;Россошь;Нижний Новгород;такси Россошь Нижний Новгород;5;;0
https://city2city.ru/svo-taxi-rostov-na-donu-starobeshevo;Ростов-на-Дону;Старобешево;такси Ростов-на-Дону Старобешево;5;;0
https://city2city.ru/urazovo-belgorod;рабочий посёлок Уразово;Белгород;такси Уразово Белгород;5;;0
https://city2city.ru/lugansk-bryansk;Луганск;Брянск;такси Луганск Брянск;4;;0
https://city2city.ru/lugansk-izhevsk;Луганск;Ижевск;такси Луганск Ижевск;4;;0
https://city2city.ru/svo-taxi-lugansk-starobelsk;Луганск;Старобельск;такси Луганск Старобельск;4;такси луганск старобельск;4
https://city2city.ru/svo-taxi-rossosh-bryansk;Россошь;Брянск;такси Россошь Брянск;4;;0
https://city2city.ru/svo-taxi-starobelsk-lugansk;Старобельск;Луганск;такси Старобельск Луганск;4;такси луганск старобельск;4
https://city2city.ru/donetsk-perm;Донецк;Пермь;такси Донецк Пермь;3;;0
https://city2city.ru/lugansk-stavropol;Луганск;Ставрополь;такси Луганск Ставрополь;3;;0
https://city2city.ru/svo-taxi-boguchar-bryansk;Богучар;Брянск;такси Богучар Брянск;3;;0
https://city2city.ru/svo-taxi-kamenka-nizhniy-novgorod;село Каменка;Нижний Новгород;такси Каменка Нижний Новгород;3;;0
https://city2city.ru/svo-taxi-lugansk-rovenki;Луганск;Ровеньки;такси Луганск Ровеньки;3;такси луганск ровеньки;3
https://city2city.ru/svo-taxi-melitopol-energodar;Мелитополь;Энергодар;такси Мелитополь Энергодар;3;такси мелитополь энергодар;3
https://city2city.ru/svo-taxi-rossosh-kursk;Россошь;Курск;такси Россошь Курск;3;;0
