url	gorod1	gorod2	rasstoyanie
https://city2city.ru/sankt-peterburg-orlov.html	Санкт-Петербург	Орлов	1500
https://city2city.ru/sankt-peterburg-pesochnoe.html	Санкт-Петербург	Песочное шоссе	80
https://city2city.ru/sankt-peterburg-podporozhe.html	Санкт-Петербург	Подпорожье	290
https://city2city.ru/sankt-peterburg-severnyj.html	Санкт-Петербург	посёлок городского типа Северный	140
https://city2city.ru/sankt-peterburg-strizhi.html	Санкт-Петербург	деревня Стрижи	1600
https://city2city.ru/sankt-peterburg-vodnyj.html	Санкт-Петербург	посёлок городского типа Водный	1800
https://city2city.ru/sankt-peterburg-zvyozdnyj.html	Санкт-Петербург	посёлок городского типа Звёздный	2200
https://city2city.ru/saratov-gagarin.html	Саратов	Гагарин	50
https://city2city.ru/saratov-moskva.html	Саратов	Москва	850
https://city2city.ru/saratov-uralskij.html	Саратов	посёлок городского типа Уральский	1400
https://city2city.ru/smolensk-orlov.html	Смоленск	Орлов	1280
https://city2city.ru/stavropol-otradnyj.html	Ставрополь	Отрадный	130
https://city2city.ru/tambov-moskva.html	Тамбов	Москва	460
https://city2city.ru/taxinovorossiya.html	аэропорт Платов	Донецк	210
https://city2city.ru/tula-leninskoe.html	Тула	посёлок городского типа Ленинское	950
https://city2city.ru/tula-orlov.html	Тула	Орлов	1100
https://city2city.ru/tula-tulskij.html	Тула	посёлок Тульский	1250
https://city2city.ru/tver-torzhok.html	Тверь	Торжок	70
https://city2city.ru/tver-tulskij.html	Тверь	посёлок Тульский	1650
https://city2city.ru/ufa-czentralnyj.html	Уфа	Центральный	1050
https://city2city.ru/ufa-krasnyj.html	Уфа	поселок городского типа Красный	1700
https://city2city.ru/ufa-oktyabrsk.html	Уфа	Октябрьск	580
https://city2city.ru/ufa-oktyabrskoe.html	Уфа	посёлок городского типа Октябрьское	300
https://city2city.ru/ufa-vidnoe.html	Уфа	садовое товарищество Видное	1350
https://city2city.ru/ulyanovsk-moskva.html	Ульяновск	Москва	840
https://city2city.ru/ulyanovsk-zavolzhe.html	Ульяновск	Заволжье	530
https://city2city.ru/volgograd-astraxan.html	Волгоград	Астрахань	430
https://city2city.ru/volgograd-czentralnyj.html	Волгоград	Центральный	1060
https://city2city.ru/volgograd-kirovskij.html	Волгоград	поселок городского типа Кировский	760
https://city2city.ru/volgograd-sovetskij.html	Волгоград	Советский	180
https://city2city.ru/volgograd-sovetskoe.html	Волгоград	посёлок городского типа Советское	80
https://city2city.ru/volgograd-vodnyj.html	Волгоград	посёлок городского типа Водный	40
https://city2city.ru/voronezh-belyj.html	Воронеж	Белый	900
https://city2city.ru/voronezh-orlov.html	Воронеж	Орлов	1400
https://city2city.ru/yaroslavl-ivanovo.html	Ярославль	Иваново	120
https://city2city.ru/yaroslavl-izhevsk.html	Ярославль	Ижевск	1150
