url;title;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
moskva-borovoj;Такси Москва Боровой;такси Москва Боровой;1;;0;;0;;0
moskva-borovsk;Такси Москва Боровск;такси Москва Боровск;16;такси москва боровск;16;;0;;0
moskva-borovsk-2;Такси Москва Боровск;такси Москва Боровск;16;такси москва боровск;16;;0;;0
moskva-borovskij;Такси Москва Боровский;такси Москва Боровский;6;;0;;0;;0
moskva-brejtovskoe;Такси Москва Брейтовское;такси Москва Брейтовское;0;;0;;0;;0
moskva-bryansk;Такси Москва Брянск;такси Москва Брянск;130;такси брянск москва цена;29;такси до москвы с брянск;24;сколько стоит такси от брянска до москвы;12
moskva-bryuxoveczkaya;Такси Москва Брюховецкая;такси Москва Брюховецкая;0;;0;;0;;0
moskva-budogoshh;Такси Москва Будогощь;такси Москва Будогощь;1;;0;;0;;0
moskva-budyonnovsk;Такси Москва Будённовск;такси Москва Будённовск;4;;0;;0;;0
moskva-bugulma;Такси Москва Бугульма;такси Москва Бугульма;0;;0;;0;;0
moskva-buguruslan;Такси Москва Бугуруслан;такси Москва Бугуруслан;6;;0;;0;;0
moskva-buinsk;Такси Москва Буинск;такси Москва Буинск;0;;0;;0;;0
moskva-buj;Такси Москва Буй;такси Москва Буй;4;;0;;0;;0
moskva-burmakino;Такси Москва Бурмакино;такси Москва Бурмакино;0;;0;;0;;0
moskva-buturlino;Такси Москва Бутурлино;такси Москва Бутурлино;0;;0;;0;;0
moskva-buturlinovka;Такси Москва Бутурлиновка;такси Москва Бутурлиновка;5;;0;;0;;0
moskva-bykovo;Такси Москва Быково;такси Москва Быково;3;;0;;0;;0
moskva-bytosh;Такси Москва Бытошь;такси Москва Бытошь;0;;0;;0;;0
moskva-bzhid;Такси Москва Бжид;такси Москва Бжид;0;;0;;0;;0
moskva-chaadaevka;Такси Москва Чаадаевка;такси Москва Чаадаевка;0;;0;;0;;0
moskva-chajkovskij;Такси Москва Чайковский;такси Москва Чайковский;1;;0;;0;;0
moskva-chamzinka;Такси Москва Чамзинка;такси Москва Чамзинка;2;;0;;0;;0
moskva-chapaevsk;Такси Москва Чапаевск;такси Москва Чапаевск;3;;0;;0;;0
moskva-chaplygin;Такси Москва Чаплыгин;такси Москва Чаплыгин;5;;0;;0;;0
moskva-chebakovskoe;Такси Москва Чебаковское;такси Москва Чебаковское;0;;0;;0;;0
moskva-chebarkul;Такси Москва Чебаркуль;такси Москва Чебаркуль;2;;0;;0;;0
moskva-cheboksary;Такси Москва Чебоксары;такси Москва Чебоксары;55;такси чебоксары москва;55;москва чебоксары такси цена;9;сколько стоит такси чебоксары москва;7
moskva-chekalin;Такси Москва Чекалин;такси Москва Чекалин;0;;0;;0;;0
moskva-chemitokvadzhe;Такси Москва Чемитоквадже;такси Москва Чемитоквадже;0;;0;;0;;0
moskva-cherdakly;Такси Москва Чердаклы;такси Москва Чердаклы;0;;0;;0;;0
moskva-cherdyn;Такси Москва Чердынь;такси Москва Чердынь;0;;0;;0;;0
moskva-cheremisinovo;Такси Москва Черемисиново;такси Москва Черемисиново;0;;0;;0;;0
moskva-cherepovecz;Такси Москва Череповец;такси Москва Череповец;39;такси москва череповец;39;;0;;0
moskva-chern;Такси Москва Чернь;такси Москва Чернь;4;;0;;0;;0
moskva-chernomorskoe;Такси Москва Черноморское;такси Москва Черноморское;0;;0;;0;;0
moskva-chernushka;Такси Москва Чернушка;такси Москва Чернушка;0;;0;;0;;0
moskva-chernyanka;Такси Москва Чернянка;такси Москва Чернянка;1;;0;;0;;0
moskva-chernyshkovskij;Такси Москва Чернышковский;такси Москва Чернышковский;0;;0;;0;;0
moskva-chertkovo;Такси Москва Чертково;такси Москва Чертково;6;;0;;0;;0
moskva-chishmy;Такси Москва Чишмы;такси Москва Чишмы;0;;0;;0;;0
moskva-chistopol;Такси Москва Чистополь;такси Москва Чистополь;0;;0;;0;;0
moskva-chistye-bory;Такси Москва Чистые Боры;такси Москва Чистые Боры;0;;0;;0;;0
moskva-chkalovsk;Такси Москва Чкаловск;такси Москва Чкаловск;1;;0;;0;;0
moskva-chuchkovo;Такси Москва Чучково;такси Москва Чучково;0;;0;;0;;0
moskva-chudovo;Такси Москва Чудово;такси Москва Чудово;1;;0;;0;;0
moskva-chufarovo;Такси Москва Чуфарово;такси Москва Чуфарово;0;;0;;0;;0
moskva-chupa;Такси Москва Чупа;такси Москва Чупа;0;;0;;0;;0
moskva-chusovoj;Такси Москва Чусовой;такси Москва Чусовой;1;;0;;0;;0
moskva-chuxloma;Такси Москва Чухлома;такси Москва Чухлома;0;;0;;0;;0
moskva-chyormoz;Такси Москва Чёрмоз;такси Москва Чёрмоз;0;;0;;0;;0
moskva-czelina;Такси Москва Целина;такси Москва Целина;0;;0;;0;;0
moskva-czemzavod;Такси Москва Цемзавод;такси Москва Цемзавод;0;;0;;0;;0
moskva-czentralnyj;Такси Москва Центральный;такси Москва Центральный;126;центральное такси москва;126;центральный автовокзал москва такси;42;адрес яндекс такси в москве центральный;40
moskva-czentralnyj-2;Такси Москва Центральный;такси Москва Центральный;126;центральное такси москва;126;центральный автовокзал москва такси;42;адрес яндекс такси в москве центральный;40
moskva-czilna;Такси Москва Цильна;такси Москва Цильна;0;;0;;0;;0
moskva-czimlyansk;Такси Москва Цимлянск;такси Москва Цимлянск;0;;0;;0;;0
moskva-czivilsk;Такси Москва Цивильск;такси Москва Цивильск;1;;0;;0;;0
moskva-dagomys;Такси Москва Дагомыс;такси Москва Дагомыс;0;;0;;0;;0
moskva-dalnee-konstantinovo;Такси Москва Дальнее Константиново;такси Москва Дальнее Константиново;0;;0;;0;;0
moskva-danilovka;Такси Москва Даниловка;такси Москва Даниловка;0;;0;;0;;0
moskva-dankov;Такси Москва Данков;такси Москва Данков;20;на такси москва данков липецкая область;8;;0;;0
moskva-darovskoj;Такси Москва Даровской;такси Москва Даровской;0;;0;;0;;0
moskva-davlekanovo;Такси Москва Давлеканово;такси Москва Давлеканово;0;;0;;0;;0
moskva-davydovka;Такси Москва Давыдовка;такси Москва Давыдовка;1;;0;;0;;0
moskva-daxovskaya;Такси Москва Даховская;такси Москва Даховская;0;;0;;0;;0
moskva-dederkoj;Такси Москва Дедеркой;такси Москва Дедеркой;0;;0;;0;;0
moskva-dedovichi;Такси Москва Дедовичи;такси Москва Дедовичи;1;;0;;0;;0
moskva-degtyarsk;Такси Москва Дегтярск;такси Москва Дегтярск;0;;0;;0;;0
moskva-demidov;Такси Москва Демидов;такси Москва Демидов;3;;0;;0;;0
moskva-demyanovo;Такси Москва Демьяново;такси Москва Демьяново;0;;0;;0;;0
moskva-dergachi;Такси Москва Дергачи;такси Москва Дергачи;0;;0;;0;;0
moskva-desnogorsk;Такси Москва Десногорск;такси Москва Десногорск;1;;0;;0;;0
moskva-dimitrovgrad;Такси Москва Димитровград;такси Москва Димитровград;4;;0;;0;;0
moskva-dinskaya;Такси Москва Динская;такси Москва Динская;0;;0;;0;;0
moskva-divnomorskoe;Такси Москва Дивноморское;такси Москва Дивноморское;5;;0;;0;;0
moskva-dmitriev;Такси Москва Дмитриев;такси Москва Дмитриев;54;такси дмитриев москва;54;;0;;0
moskva-dmitrievka;Такси Москва Дмитриевка;такси Москва Дмитриевка;2;;0;;0;;0
moskva-dmitrovsk;Такси Москва Дмитровск;такси Москва Дмитровск;2;;0;;0;;0
moskva-dno;Такси Москва Дно;такси Москва Дно;0;;0;;0;;0
moskva-dobryanka;Такси Москва Добрянка;такси Москва Добрянка;0;;0;;0;;0
moskva-dolgoe;Такси Москва Долгое;такси Москва Долгое;11;;0;;0;;0
moskva-donskoj;Такси Москва Донской;такси Москва Донской;36;такси москва донской;36;такси москва троицк тульская обл донской;6;;0
moskva-dorogobuzh;Такси Москва Дорогобуж;такси Москва Дорогобуж;0;;0;;0;;0
moskva-doschatoe;Такси Москва Досчатое;такси Москва Досчатое;0;;0;;0;;0
moskva-druzhinino;Такси Москва Дружинино;такси Москва Дружинино;0;;0;;0;;0
moskva-druzhnaya-gorka;Такси Москва Дружная Горка;такси Москва Дружная Горка;0;;0;;0;;0
moskva-dubovka;Такси Москва Дубовка;такси Москва Дубовка;0;;0;;0;;0
moskva-dubrovka;Такси Москва Дубровка;такси Москва Дубровка;7;;0;;0;;0
moskva-dubrovka-2;Такси Москва Дубровка;такси Москва Дубровка;7;;0;;0;;0
moskva-duminichi;Такси Москва Думиничи;такси Москва Думиничи;2;;0;;0;;0
moskva-duminichi-2;Такси Москва Думиничи;такси Москва Думиничи;2;;0;;0;;0
moskva-duxovniczkoe;Такси Москва Духовницкое;такси Москва Духовницкое;0;;0;;0;;0
moskva-duxovshhina;Такси Москва Духовщина;такси Москва Духовщина;0;;0;;0;;0
moskva-dyatkovo;Такси Москва Дятьково;такси Москва Дятьково;3;;0;;0;;0
moskva-dyurso;Такси Москва Дюрсо;такси Москва Дюрсо;2;;0;;0;;0
moskva-dyurtyuli;Такси Москва Дюртюли;такси Москва Дюртюли;1;;0;;0;;0
moskva-dzerzhinsk;Такси Москва Дзержинск;такси Москва Дзержинск;35;такси дзержинск москва;35;;0;;0
moskva-dzhalil;Такси Москва Джалиль;такси Москва Джалиль;1;;0;;0;;0
moskva-dzhankoj;Такси Москва Джанкой;такси Москва Джанкой;59;такси джанкой москва;59;заказа междугороднее такси джанкой москва;5;;0
moskva-dzhanxot;Такси Москва Джанхот;такси Москва Джанхот;0;;0;;0;;0
moskva-dzhiginka;Такси Москва Джигинка;такси Москва Джигинка;0;;0;;0;;0
moskva-efimovskij;Такси Москва Ефимовский;такси Москва Ефимовский;0;;0;;0;;0
moskva-efremov;Такси Москва Ефремов;такси Москва Ефремов;10;такси москва ефремов;10;;0;;0
moskva-ekaterinovka;Такси Москва Екатериновка;такси Москва Екатериновка;0;;0;;0;;0
moskva-elabuga;Такси Москва Елабуга;такси Москва Елабуга;4;;0;;0;;0
moskva-elan;Такси Москва Елань;такси Москва Елань;1;;0;;0;;0
moskva-elan-kolenovskij;Такси Москва Елань-Коленовский;такси Москва Елань-Коленовский;0;;0;;0;;0
moskva-elatma;Такси Москва Елатьма;такси Москва Елатьма;2;;0;;0;;0
moskva-elecz;Такси Москва Елец;такси Москва Елец;41;такси елец москва;41;;0;;0
moskva-eleczkij;Такси Москва Елецкий;такси Москва Елецкий;1;;0;;0;;0
moskva-elizavetinskaya;Такси Москва Елизаветинская;такси Москва Елизаветинская;0;;0;;0;;0
moskva-elnya;Такси Москва Ельня;такси Москва Ельня;4;;0;;0;;0
moskva-emanzhelinsk;Такси Москва Еманжелинск;такси Москва Еманжелинск;1;;0;;0;;0
moskva-emva;Такси Москва Емва;такси Москва Емва;0;;0;;0;;0
moskva-enem;Такси Москва Энем;такси Москва Энем;0;;0;;0;;0
moskva-engelsk;Такси Москва Энгельск;такси Москва Энгельск;0;;0;;0;;0
moskva-ermish;Такси Москва Ермишь;такси Москва Ермишь;1;;0;;0;;0
moskva-ermolino;Такси Москва Ермолино;такси Москва Ермолино;4;;0;;0;;0
moskva-ermolino-2;Такси Москва Ермолино;такси Москва Ермолино;4;;0;;0;;0
moskva-ershov;Такси Москва Ершов;такси Москва Ершов;0;;0;;0;;0
