city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
аэропорт Краснодар (Пашковский) имени Екатерины II;Донецк;https://city2city.ru/aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast;межгород {city_from} {city_to};межгород аэропорт Краснодар (Пашковский) имени Екатерины II Донецк;0;;0;;0;;0
аэропорт Краснодар (Пашковский) имени Екатерины II;Донецк;https://city2city.ru/aeroport-krasnodar-pashkovskij-doneczk-rostovskaya-oblast;такси {city_from} {city_to} цена;такси аэропорт Краснодар (Пашковский) имени Екатерины II Донецк цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бугуруслан;https://city2city.ru/aeroport-kurumoch-buguruslan;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева Бугуруслан;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бугуруслан;https://city2city.ru/aeroport-kurumoch-buguruslan;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева Бугуруслан;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бугуруслан;https://city2city.ru/aeroport-kurumoch-buguruslan;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева Бугуруслан;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бугуруслан;https://city2city.ru/aeroport-kurumoch-buguruslan;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева Бугуруслан цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бузулук;https://city2city.ru/aeroport-kurumoch-buzuluk;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева Бузулук;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бузулук;https://city2city.ru/aeroport-kurumoch-buzuluk;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева Бузулук;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бузулук;https://city2city.ru/aeroport-kurumoch-buzuluk;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева Бузулук;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Бузулук;https://city2city.ru/aeroport-kurumoch-buzuluk;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева Бузулук цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;52А-3;https://city2city.ru/aeroport-kurumoch-granicza-kazaxstan;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева 52А-3;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;52А-3;https://city2city.ru/aeroport-kurumoch-granicza-kazaxstan;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева 52А-3;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;52А-3;https://city2city.ru/aeroport-kurumoch-granicza-kazaxstan;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева 52А-3;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;52А-3;https://city2city.ru/aeroport-kurumoch-granicza-kazaxstan;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева 52А-3 цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Оренбург;https://city2city.ru/aeroport-kurumoch-orenburg;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева Оренбург;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Оренбург;https://city2city.ru/aeroport-kurumoch-orenburg;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева Оренбург;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Оренбург;https://city2city.ru/aeroport-kurumoch-orenburg;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева Оренбург;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Оренбург;https://city2city.ru/aeroport-kurumoch-orenburg;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева Оренбург цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Первомайск;https://city2city.ru/aeroport-kurumoch-pervomajsk;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева Первомайск;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Первомайск;https://city2city.ru/aeroport-kurumoch-pervomajsk;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева Первомайск;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Первомайск;https://city2city.ru/aeroport-kurumoch-pervomajsk;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева Первомайск;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Первомайск;https://city2city.ru/aeroport-kurumoch-pervomajsk;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева Первомайск цена;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Сызрань;https://city2city.ru/aeroport-kurumoch-syzran;такси {city_from} {city_to};такси аэропорт Самара (Курумоч) имени С.П. Королева Сызрань;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Сызрань;https://city2city.ru/aeroport-kurumoch-syzran;трансфер {city_from} {city_to};трансфер аэропорт Самара (Курумоч) имени С.П. Королева Сызрань;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Сызрань;https://city2city.ru/aeroport-kurumoch-syzran;межгород {city_from} {city_to};межгород аэропорт Самара (Курумоч) имени С.П. Королева Сызрань;0;;0;;0;;0
аэропорт Самара (Курумоч) имени С.П. Королева;Сызрань;https://city2city.ru/aeroport-kurumoch-syzran;такси {city_from} {city_to} цена;такси аэропорт Самара (Курумоч) имени С.П. Королева Сызрань цена;0;;0;;0;;0
Аэропорт Платов;село Бугаёвка;https://city2city.ru/aeroport-platov-app-bugaevka;такси {city_from} {city_to};такси Аэропорт Платов село Бугаёвка;0;;0;;0;;0
Аэропорт Платов;село Бугаёвка;https://city2city.ru/aeroport-platov-app-bugaevka;трансфер {city_from} {city_to};трансфер Аэропорт Платов село Бугаёвка;0;;0;;0;;0
Аэропорт Платов;село Бугаёвка;https://city2city.ru/aeroport-platov-app-bugaevka;межгород {city_from} {city_to};межгород Аэропорт Платов село Бугаёвка;0;;0;;0;;0
Аэропорт Платов;село Бугаёвка;https://city2city.ru/aeroport-platov-app-bugaevka;такси {city_from} {city_to} цена;такси Аэропорт Платов село Бугаёвка цена;0;;0;;0;;0
аэропорт Пулково;Ивангород;https://city2city.ru/aeroport-pulkovo-ivangorod;такси {city_from} {city_to};такси аэропорт Пулково Ивангород;3;;0;;0;;0
аэропорт Пулково;Ивангород;https://city2city.ru/aeroport-pulkovo-ivangorod;трансфер {city_from} {city_to};трансфер аэропорт Пулково Ивангород;0;;0;;0;;0
