page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/astraxan-moskva;Астрахань;Москва;такси Астрахань Москва;60;такси астрахань москва;60;астрахань москва такси сколько;19;такси москва астрахань сколько стоит;10;"[{""phrase"": ""такси астрахань москва"", ""count"": ""60""}, {""phrase"": ""астрахань москва такси сколько"", ""count"": ""19""}, {""phrase"": ""такси москва астрахань сколько стоит"", ""count"": ""10""}]"
https://city2city.ru/astraxan-narimanov;Астрахань;Нариманов;такси Астрахань Нариманов;29;;0;;0;;0;[]
https://city2city.ru/astraxan-neftekumsk;Астрахань;Нефтекумск;такси Астрахань Нефтекумск;0;;0;;0;;0;[]
https://city2city.ru/astraxan-nizhnij-novgorod;Астрахань;Нижний Новгород;такси Астрахань Нижний Новгород;0;;0;;0;;0;[]
https://city2city.ru/astraxan-novorossijsk;Астрахань;Новороссийск;такси Астрахань Новороссийск;4;;0;;0;;0;[]
https://city2city.ru/astraxan-orenburg;Астрахань;Оренбург;такси Астрахань Оренбург;2;;0;;0;;0;[]
https://city2city.ru/astraxan-penza;Астрахань;Пенза;такси Астрахань Пенза;1;;0;;0;;0;[]
https://city2city.ru/astraxan-posyolok-czagan-aman;Астрахань;посёлок городского типа Цаган Аман;такси Астрахань посёлок городского типа Цаган Аман;0;;0;;0;;0;[]
https://city2city.ru/astraxan-posyolok-komsomolskij;Астрахань;посёлок Комсомольский;такси Астрахань посёлок Комсомольский;0;;0;;0;;0;[]
https://city2city.ru/astraxan-posyolok-yashkul;Астрахань;поселок Яшкуль;такси Астрахань поселок Яшкуль;0;;0;;0;;0;[]
https://city2city.ru/astraxan-pyatigorsk;Астрахань;Пятигорск;такси Астрахань Пятигорск;2;;0;;0;;0;[]
https://city2city.ru/astraxan-rostov-na-donu;Астрахань;Ростов-на-Дону;такси Астрахань Ростов-на-Дону;21;ростов на дону астрахань такси;21;;0;;0;"[{""phrase"": ""ростов на дону астрахань такси"", ""count"": ""21""}]"
https://city2city.ru/astraxan-ryazan;Астрахань;Рязань;такси Астрахань Рязань;0;;0;;0;;0;[]
https://city2city.ru/astraxan-sankt-peterburg;Астрахань;Санкт-Петербург;такси Астрахань Санкт-Петербург;8;;0;;0;;0;[]
https://city2city.ru/astraxan-saratov;Астрахань;Саратов;такси Астрахань Саратов;1;;0;;0;;0;[]
https://city2city.ru/astraxan-sevastopol;Астрахань;Севастополь;такси Астрахань Севастополь;6;;0;;0;;0;[]
https://city2city.ru/astraxan-sochi;Астрахань;Сочи;такси Астрахань Сочи;3;;0;;0;;0;[]
https://city2city.ru/astraxan-stanicza-kurskaya;Астрахань;станица Курская;такси Астрахань станица Курская;0;;0;;0;;0;[]
https://city2city.ru/astraxan-staricza;Астрахань;Старица;такси Астрахань Старица;0;;0;;0;;0;[]
https://city2city.ru/astraxan-stavropol;Астрахань;Ставрополь;такси Астрахань Ставрополь;24;такси астрахань ставрополь;24;;0;;0;"[{""phrase"": ""такси астрахань ставрополь"", ""count"": ""24""}]"
https://city2city.ru/astraxan-tambov;Астрахань;Тамбов;такси Астрахань Тамбов;5;;0;;0;;0;[]
https://city2city.ru/astraxan-temryuk;Астрахань;Темрюк;такси Астрахань Темрюк;3;;0;;0;;0;[]
https://city2city.ru/astraxan-tuapse;Астрахань;Туапсе;такси Астрахань Туапсе;0;;0;;0;;0;[]
https://city2city.ru/astraxan-ufa;Астрахань;Уфа;такси Астрахань Уфа;7;;0;;0;;0;[]
https://city2city.ru/astraxan-valujki;Астрахань;Валуйки;такси Астрахань Валуйки;0;;0;;0;;0;[]
https://city2city.ru/astraxan-verxnij-baskunchak;Астрахань;посёлок городского типа Верхний Баскунчак;такси Астрахань посёлок городского типа Верхний Баскунчак;0;;0;;0;;0;[]
https://city2city.ru/astraxan-volgo-kaspijskij;Астрахань;поселок городского типа Волго-Каспийский;такси Астрахань поселок городского типа Волго-Каспийский;0;;0;;0;;0;[]
https://city2city.ru/astraxan-volgodonsk;Астрахань;Волгодонск;такси Астрахань Волгодонск;1;;0;;0;;0;[]
https://city2city.ru/astraxan-volgograd;Астрахань;Волгоград;такси Астрахань Волгоград;75;такси астрахань волгоград;75;такси волгоград астрахань цены;19;;0;"[{""phrase"": ""такси астрахань волгоград"", ""count"": ""75""}, {""phrase"": ""такси волгоград астрахань цены"", ""count"": ""19""}]"
https://city2city.ru/astraxan-volzhskij;Астрахань;Волжский;такси Астрахань Волжский;3;;0;;0;;0;[]
https://city2city.ru/astraxan-voronezh;Астрахань;Воронеж;такси Астрахань Воронеж;1;;0;;0;;0;[]
