city_from,city_to,freq,slug,fo,distance_fill,price_fill
Краснодар,Выселки,17,krasnodar-vyselki,ЮФО,,
Владимир,Радужный,16,vladimir-raduzhnyj,ЦФО,,
Москва,Балашов,16,moskva-balashov,ЦФО,,
Москва,Карачев,16,moskva-karachev,ЦФО,,
Москва,Михайлов,16,moskva-mixajlov,ЦФО,,
Москва,Новозыбков,16,moskva-novozybkov,ЦФО,,
Москва,Сафоново,16,moskva-safonovo,ЦФО,,
Орёл,Ровное,16,oryol-rovnoe,ЦФО,,
Рязань,Самара,16,ryazan-samara,ЦФО,,
Краснодар,Абрау-Дюрсо,16,krasnodar-avbrau-dyurso,ЮФО,,
Екатеринбург,Камышлов,15,ekaterinburg-kamyshlov,УФО,,
Екатеринбург,Кыштым,15,ekaterinburg-kashtym,УФО,,
Брянск,Екатеринбург,15,bryansk-ekaterinburg,ЦФО,,
Брянск,Саратов,15,bryansk-saratov,ЦФО,,
Воронеж,Симферополь,15,voronezh-simferopol,ЦФО,,
Москва,Балабаново,15,moskva-balabanovo,ЦФО,,
Москва,Моршанск,15,moskva-morshansk,ЦФО,,
Москва,Суворов,15,moskva-suvorov,ЦФО,,
Брянск,Сельцо,14,bryansk-selczo,ЦФО,,
Калуга,Кондрово,14,kaluga-kondrovo,ЦФО,,
Калуга,Воротынск,14,kaluga-vorotynsk,ЦФО,,
Курск,Смоленск,14,kursk-smolensk,ЦФО,,
Москва,Касимов,14,moskva-kasimov,ЦФО,,
Москва,Мценск,14,moskva-mczensk,ЦФО,,
Москва,Воскресенское,14,moskva-voskresenskoe,ЦФО,,
Москва,Железногорск,14,moskva-zheleznogorsk,ЦФО,,
Тверь,Домодедово,14,tver-domodedovo,ЦФО,,
Тверь,Клин,14,tver-klin,ЦФО,,
Ярославль,Холм,14,yaroslavl-xolm,ЦФО,,
Волгоград,Городищи,14,volgograd-gorodishhi,ЮФО,,
Краснодар,Волгоград,14,krasnodar-volgograd,ЮФО,,
Белгород,Ракитное,13,belgorod-rakitnoe,ЦФО,,
Курск,Жуков,13,kursk-zhukov,ЦФО,,
Москва,Феодосия,13,moskva-feodosiya,ЦФО,,
Москва,Котельниково,13,moskva-kotelnikovo,ЦФО,,
Москва,Любим,13,moskva-lyubim,ЦФО,,
Москва,Покров,13,moskva-pokrov,ЦФО,,
Москва,Венёв,13,moskva-venyov,ЦФО,,
Орёл,Богучар,13,oryol-boguchar,ЦФО,,
Тула,Советск,13,tula-sovetsk,ЦФО,,
Волгоград,Жуков,13,volgograd-zhukov,ЮФО,,
Киров,Симферополь,12,kirov-simferopol,ПФО,,
Киров,Смоленск,12,kirov-smolensk,ПФО,,
Ханты-Мансийск,Белоярский,12,xanty-mansijsk-beloyarskij,УФО,,
Москва,Клинцы,12,moskva-klinczy,ЦФО,,
Москва,Судак,12,moskva-sudak,ЦФО,,
Москва,Узловая,12,moskva-uzlovaya,ЦФО,,
Москва,Ясный,12,moskva-yasnyj,ЦФО,,
Орёл,Знаменка,12,oryol-znamenka,ЦФО,,
Краснодар,Старощербиновская,12,krasnodar-staroshherbinovskaya,ЮФО,,
Киров,Орёл,11,kirov-oryol,ПФО,,
Киров,Пятигорск,11,kirov-pyatigorsk,ПФО,,
Иваново,Белебей,11,ivanovo-belebej,ЦФО,,
Калуга,Ростов-на-Дону,11,kaluga-rostov-na-donu,ЦФО,,
Курск,Любим,11,kursk-lyubim,ЦФО,,
Москва,Алушта,11,moskva-alushta,ЦФО,,
Москва,Богородицк,11,moskva-bogorodiczk,ЦФО,,
Москва,Долгое,11,moskva-dolgoe,ЦФО,,
Москва,Гулькевичи,11,moskva-gulkevichi,ЦФО,,
Москва,Ржев,11,moskva-rzhev,ЦФО,,
Рязань,Жуковский,11,ryazan-zhukovskij,ЦФО,,
Волгоград,Нижний Новгород,11,volgograd-nizhnij-novgorod,ЮФО,,
Казань,Богучар,10,kazan-boguchar,ПФО,,
Киров,Екатеринбург,10,kirov-ekaterinburg,ПФО,,
Нижний Новгород,Богучар,10,nizhnij-novgorod-boguchar,ПФО,,
Санкт-Петербург,Киров,10,sankt-peterburg-kirov,СЗФО,,
Екатеринбург,Кашин,10,ekaterinburg-kashin,УФО,,
Белгород,Кострома,10,belgorod-kostroma,ЦФО,,
Брянск,Фокино,10,bryansk-fokino,ЦФО,,
Владимир,Покров,10,vladimir-pokrov,ЦФО,,
Владимир,Уразово,10,vladimir-urazovo,ЦФО,,
Воронеж,Александров,10,voronezh-aleksandrov,ЦФО,,
Воронеж,Энгельс,10,voronezh-engelsk,ЦФО,,
Воронеж,Грязи,10,voronezh-gryazi,ЦФО,,
Воронеж,Льгов,10,voronezh-lgov,ЦФО,,
Иваново,Псков,10,ivanovo-pskov,ЦФО,,
Москва,Керчь,10,moskva-kerch,ЦФО,,
Москва,Кимовск,10,moskva-kimovsk,ЦФО,,
Москва,Старица,10,moskva-staricza,ЦФО,,
Москва,Юрьев-Польский,10,moskva-yurev-polskij,ЦФО,,
Тверь,Калязин,10,tver-kalyazin,ЦФО,,
Волгоград,Киров,10,volgograd-kirov,ЮФО,,
Краснодар,Новопокровская,10,krasnodar-novopokrovskaya,ЮФО,,
Краснодар,Тбилисская,10,krasnodar-tbilisskaya,ЮФО,,
Краснодар,Успенское,10,krasnodar-uspenskoe,ЮФО,,
